id,genres,title,belongs_to_collection,budget,revenue,original_language,release_date,runtime,spoken_languages,vote_average,actors,director,return,combined_features
862,"Animation, Comedy, Family",toy story,Toy Story Collection,30000000,373554033.0,en,1995-10-30,81.0,English,7.7,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette",John Lasseter,12.4518011,"Toy Story Collection Animation, Comedy, Family 1995-10-30 en"
15602,"Romance, Comedy",grumpier old men,Grumpy Old Men Collection,0,0.0,en,1995-12-22,101.0,English,6.5,"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah, Burgess Meredith, Kevin Pollak",Howard Deutch,0.0,"Grumpy Old Men Collection Romance, Comedy 1995-12-22 en"
710,"Adventure, Action, Thriller",goldeneye,James Bond Collection,58000000,352194034.0,en,1995-11-16,130.0,"English, Pусский, Español",6.6,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Gottfried John, Robbie Coltrane, Alan Cumming, Tchéky Karyo, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz, Billy J. Mitchell, Constantine Gregory, Minnie Driver, Michelle Arthur, Ravil Isyanov",Martin Campbell,6.072310931034483,"James Bond Collection Adventure, Action, Thriller 1995-11-16 en"
9273,"Crime, Comedy, Adventure",ace ventura: when nature calls,Ace Ventura Collection,30000000,212385533.0,en,1995-10-11,90.0,English,6.1,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton, Sophie Okonedo, Tommy Davidson, Adewale Akinnuoye-Agbaje, Danny D. Daniels, Sam Motoana Phillips, Damon Standifer, Andrew Steel, Bruce Spence, Tom Grunke, Arsenio 'Sonny' Trinidad",Steve Oedekerk,7.079517766666667,"Ace Ventura Collection Crime, Comedy, Adventure 1995-10-11 en"
8012,"Comedy, Thriller, Crime",get shorty,Chili Palmer Collection,30250000,115101622.0,en,1995-10-20,105.0,English,6.4,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina, Delroy Lindo, James Gandolfini, Jon Gries, Renee Props, David Paymer, Martin Ferrero, Miguel Sandoval, Jacob Vargas, Bobby Slayton, Linda Hart, Jeffrey J. Stephen",Barry Sonnenfeld,3.805012297520661,"Chili Palmer Collection Comedy, Thriller, Crime 1995-10-20 en"
9312,"Action, Fantasy",mortal kombat,Mortal Kombat Collection,18000000,122195920.0,en,1995-08-18,101.0,English,5.4,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa, Bridgette Wilson, Talisa Soto, Trevor Goddard, Chris Casamassa, François Petit, Keith Cooke, Ed Boon",Paul W.S. Anderson,6.788662222222222,"Mortal Kombat Collection Action, Fantasy 1995-08-18 en"
11525,"Action, Science Fiction",lawnmower man 2: beyond cyberspace,The Lawnmower Man Collection,0,2409225.0,en,1996-12-01,92.0,"English, Magyar",2.8,"Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget, Camille Cooper, Patrick LaBrecque, Crystal Celeste Grant, Sean P. Young, Mathew Valencia, Kevin Conway, Trever O'Brien, Richard Fancy, Castulo Guerra, Molly Shannon, Ellis E. Williams",Farhad Mann,0.0,"The Lawnmower Man Collection Action, Science Fiction 1996-12-01 en"
10634,Comedy,friday,Friday Collection,3500000,28215918.0,en,1995-04-26,91.0,English,7.0,"Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr., John Witherspoon, Anna Maria Horsford, Regina King, Paula Jai Parker, Faizon Love, DJ Pooh, Tony Cox, Anthony Johnson, Bernie Mac, Meagan Good, Terri J. Vaughn, F. Gary Gray, Reynaldo Rey, Michael Clarke Duncan",F. Gary Gray,8.061690857142857,Friday Collection Comedy 1995-04-26 en
755,"Horror, Action, Thriller, Crime",from dusk till dawn,From Dusk Till Dawn Collection,19000000,25836616.0,en,1996-01-19,108.0,"English, Español",6.9,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, Michael Parks, Brenda Hillhouse, John Saxon, Marc Lawrence, Kelly Preston, John Hawkes, Tito Larriva, Peter Atanasoff, Johnny Vatos Hernandez, Aimee Graham, Heidi McNeal, Ernest M. Garcia, Gregory Nicotero, Cristos, Mike Moroff, Tia Texada, Janine Jordae, Ungela Brockman, Michelle Berube, Michael McKay, Jake McKinnon, Walter Phelan, Wayne Toth",Robert Rodriguez,1.359821894736842,"From Dusk Till Dawn Collection Horror, Action, Thriller, Crime 1996-01-19 en"
10874,"Action, Comedy, Music, Family, Adventure",muppet treasure island,The Muppet Collection,0,34327391.0,en,1996-02-16,100.0,English,6.5,"Tim Curry, Kevin Bishop, Jennifer Saunders, Billy Connolly, Dave Goelz, Frank Oz, Steve Whitmire, David Nicholls, Frederick Warder, Harry Jones, Peter Geeves, Jessica Hamilton",Brian Henson,0.0,"The Muppet Collection Action, Comedy, Music, Family, Adventure 1996-02-16 en"
27793,Fantasy,the neverending story iii: escape from fantasia,The Neverending Story Collection,17000000,0.0,en,1994-10-26,95.0,English,4.4,"Jason James Richter, Melody Kay, Kevin McNulty, Tracey Ellis, Jack Black, Carole Finn, Ryan Bollman, Freddie Jones, Julie Cox, Moya Brady, Tony Robinson, Thomas Petruo, Nicole Parker, Adrien Dorval",Peter MacDonald,0.0,The Neverending Story Collection Fantasy 1994-10-26 en
414,"Action, Crime, Fantasy",batman forever,Batman Collection,100000000,336529144.0,en,1995-06-16,121.0,English,5.2,"Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman, Chris O'Donnell, Michael Gough, Pat Hingle, Drew Barrymore, Debi Mazar, Elizabeth Sanders, Rene Auberjonois, Joe Grifasi, Philip Moon, Jessica Tuck, Dennis Paladino, Don Wilson, Bob Zmuda",Joel Schumacher,3.36529144,"Batman Collection Action, Crime, Fantasy 1995-06-16 en"
5894,Comedy,blue in the face,Brooklyn Cigar Store Collection,2000000,1275000.0,en,1995-09-15,83.0,English,6.8,"Harvey Keitel, Lou Reed, Michael J. Fox, Roseanne Barr, Lily Tomlin, Giancarlo Esposito, José Zúñiga, Madonna, Mira Sorvino, Keith David, Victor Argo, Jim Jarmusch, Jared Harris, Mel Gorham, Malik Yoba, John Lurie, Stephen Gevedon, Sharif Rashed, Peggy Gormley, RuPaul",Paul Auster,0.6375,Brooklyn Cigar Store Collection Comedy 1995-09-15 en
8839,"Fantasy, Comedy, Family",casper,Casper Collection,50000000,287928194.0,en,1995-05-26,100.0,English,6.0,"Christina Ricci, Bill Pullman, Cathy Moriarty, Eric Idle, Joe Nipote, Joe Alaskey, Brad Garrett, Garette Ratliff Henson, Jessica Wesson, Amy Brenneman, Malachi Pearson, Chauncey Leopardi, Spencer Vrooman, Ben Stein, Don Novello, Fred Rogers, Terry Murphy, Ernestine Mercer, Doug Bruckner, John Kassir, Wesley Thompson, Michael Dubrow, J.J. Anderson, Jess Harnell, Michael McCarty, Micah Winkelspecht, Mike Simmrin, Devon Sawa, Dan Aykroyd, Rodney Dangerfield, Clint Eastwood, Mel Gibson, Elise Main, Tony Stef'Ano",Brad Silberling,5.75856388,"Casper Collection Fantasy, Comedy, Family 1995-05-26 en"
8068,"Thriller, Action, Crime",desperado,Mexico Trilogy,7000000,25405445.0,en,1995-08-25,104.0,English,6.8,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin, Steve Buscemi, Carlos Andrés Gómez, Quentin Tarantino, Tito Larriva, Angel Aviles, Danny Trejo, Abraham Verduzco, Carlos Gallardo, Albert Michel Jr., David Alvarado, Angela Lanza, Elizabeth Rodriguez",Robert Rodriguez,3.6293492857142855,"Mexico Trilogy Thriller, Action, Crime 1995-08-25 en"
13552,"Action, Comedy, Crime, Drama",the doom generation,Teenage Apocalypse Trilogy,0,0.0,en,1995-10-27,80.0,English,5.6,"Rose McGowan, James Duval, Johnathon Schaech, Cress Williams, Dustin Nguyen, Margaret Cho, Christopher Knight, Nicky Katt, Perry Farrell, Parker Posey, Salvator Xuereb, Heidi Fleiss, Lauren Tewes, Amanda Bearse",Gregg Araki,0.0,"Teenage Apocalypse Trilogy Action, Comedy, Crime, Drama 1995-10-27 en"
